ilce,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Adalar,14072,14341,14221,13883,14552,16166,16052,15623,14478,14907,16119,15238,16033,16372
Arnavutköy,163510,175871,188011,198230,206299,215531,225670,236222,247507,261655,270549,282488,296709,312023
Ataşehir,351046,361615,375208,387502,395758,405974,408986,419368,422513,423372,416318,425094,422594,427217
Avcılar,333944,348635,364682,383736,395274,407240,417852,425228,430770,435682,435625,448882,436897,457981
Bağcılar,720819,724268,738809,746650,749024,752250,754623,757162,751510,748483,734369,745125,737206,744351
Bahçelievler,571683,576799,590063,600900,600162,602931,599027,602040,598097,598454,594053,611059,592371,605300
Bakırköy,214810,218352,219145,220663,221336,220974,221594,223248,222437,222370,222668,229239,226229,228759
Başakşehir,207542,226387,248467,284488,316176,333047,342422,353311,369810,396729,427835,460259,469924,503243
Bayrampaşa,268276,269425,269481,269709,269774,269677,269809,272374,273148,274197,271073,274735,269950,274884
Beşiktaş,185373,185054,184390,187053,186067,186570,188793,190033,189356,185447,181074,182649,176513,178938
Beykoz,243454,244137,246136,247284,246352,248056,248071,249727,250410,251087,246700,248260,246110,248595
Beylikdüzü,185633,193972,204873,218120,229115,244760,262473,279999,297420,314670,331525,352412,365572,398122
Beyoğlu,245064,244516,248084,248206,246152,245219,241520,242250,238762,236606,230526,233323,226396,233322
Büyükçekmece,163140,171222,182017,192843,201077,211000,223324,231064,237185,243474,247736,254103,257362,269160
Çatalca,62339,63277,62001,63379,63467,65811,67843,67329,68935,69057,72966,73718,74975,76131
Çekmeköy,147352,154103,168438,183013,193182,207476,220656,231818,239611,248859,251937,264508,273658,288585
Esenler,464557,459980,461072,461382,458694,461621,458857,459983,457231,454569,444561,450344,446276,447116
Esenyurt,373017,403895,446777,500027,553369,624733,686968,742810,795010,846492,891120,954579,957398,977489
Eyüpsultan,323038,331548,338329,345790,356512,361531,367824,375409,377650,381114,383909,400513,405845,417360
Fatih,443955,433796,431147,429351,428857,425875,419266,419345,417285,433873,436539,443090,396594,382990
Gaziosmanpaşa,460675,461230,474259,482553,488258,495006,498120,501546,499766,497959,487046,491962,487778,493096
Güngören,314271,311672,309624,309135,307573,306854,303371,302066,298509,296967,289331,289441,280299,283083
Kadıköy,533452,529191,532835,531997,521005,506293,482571,465954,452302,451453,458638,482713,481983,485233
Kağıthane,415130,413797,416515,419865,421356,428755,432230,437942,439685,442694,437026,448025,442415,454550
Kartal,426748,426680,432199,440887,443293,447110,450498,457552,459298,463433,461155,470676,474514,480738
Küçükçekmece,669081,674795,695988,711112,721911,740090,748398,761064,766609,770393,770317,792821,789633,805930
Maltepe,417605,427041,438257,452099,460955,471059,476806,487337,490151,497586,497034,513316,515021,525566
Pendik,541619,562122,585196,609535,625797,646375,663569,681736,691681,698260,693599,711894,726481,741895
Sancaktepe,229093,241233,256442,267537,278998,304406,329788,354882,377047,402391,414143,436733,456861,474668
Sarıyer,277372,278527,280802,287309,289959,335598,337681,344159,342753,344876,342503,347214,335298,349968
Silivri,124601,134660,138797,144781,150183,155923,161165,165084,170523,180524,187621,193680,200215,209014
Sultanbeyli,282026,286622,291063,298143,302388,309347,315022,321730,324709,329985,327798,336021,343318,349485
Sultangazi,444295,452563,468274,483225,492212,505190,513022,521524,525090,528514,523765,534565,537488,543380
Şile,28571,28325,28119,28847,30218,31718,32823,33477,34241,35131,36516,37692,37904,41627
Şişli,312666,316058,317337,320763,318217,274420,272380,274017,272803,274196,274289,279817,266793,284294
Tuzla,170453,181658,185819,197230,197657,208807,221620,234372,242232,252923,255468,267400,273608,284443
Ümraniye,553935,573265,603431,631603,645238,660125,674131,688347,694158,699901,690193,710280,713803,726758
Üsküdar,524889,524379,526947,532182,535916,534636,534970,540617,535537,533570,529145,531825,520771,525395
Zeytinburnu,288058,290147,292430,293228,292407,292313,287223,289685,287897,287378,284935,293574,283657,293839
